UID3,Site,Year,Month,Day,UID,Transect,Cycle,Canopy.Total,Depth.Right,Depth.Mn,Depth.Mx,Depth.Mid,Canopy.Density.Left,Canopy.Density.Right,Canopy.Density.Mid,Conductivity,Temperature,DO_.sat,DO_mg.L,salinity_psu,pH.field,Depth.Left,Width,Green.Algae,sand,Bluegreen.cyano,Diatoms,cobble,gravel,boulder,silt,bedrock,NO3N,NH4.N,Ortho.P
SFC3.3.2018.50,SFC,2018,3,3,SFC3.3.2018,50,8,0.891891892,0.03,0.046666667,0.08,0.08,0.918918919,0.864864865,0.891891892,1265,21.8,58,5.070964785,0.675461367,7.56,0.03,2.14,0,0,0.74,1.29,0.2,0.8,0,0,0,16.256,0.34,1.67
SFC4.7.2018.50,SFC,2018,4,7,SFC4.7.2018,50,9,0.990990991,0.04,0.026666667,0.04,0.03,0.972972973,1,1,1186,22.4,54.6,4.720468701,0.623170105,7.75,0.01,2.7,0,0,0.13,0.38,0.2,0.8,0,0,0,10.079,0.34,1.52
SFC5.12.2018.50,SFC,2018,5,12,SFC5.12.2018,50,10,1,0.04,0.04,0.05,0.05,1,1,1,1413,26.7,63.3,5.051899581,0.682237963,8.02,0.03,2.13,0.11,0,0.08,0.13,0,1,0,0,0,8.626,0,1.75
SFC6.1.2018.50,SFC,2018,6,1,SFC6.1.2018,50,11,0.963963964,0.2,0.3,0.4,0.4,1,0.891891892,1,1423,27.4,71.5,5.635457498,0.677421255,8.31,0.3,2.1,0.06,0.158333334,0.05,0.17,0,0.175,0,0.5,0,16.16,0,2.32
SFC7.1.2018.50,SFC,2018,7,1,SFC7.1.2018,50,12,0.828828829,0.05,0.123333333,0.17,0.17,0.72972973,0.864864865,0.891891892,981,28.3,57.8,4.489244688,0.451935998,7.41,0.15,2.2,0.1,0.2,0.46,0.55,0,0.8,0,0,0,9.43,0.19,2.32
AR3.3.2018.0,AR,2018,3,3,AR3.3.2018,0,8,0.936936937,0.15,0.126666667,0.18,0.18,0.972972973,0.918918919,0.918918919,1396,20.7,70.3,6.275864842,0.767503619,7.95,0.05,4.7,0,0.2,2.39,1.72,0,0.7,0,0.1,0,10.672,0.2,2.06
AR4.7.2018.0,AR,2018,4,7,AR4.7.2018,0,9,1,0.19,0.17,0.27,0.27,1,1,1,1284,23.1,71.3,6.08126672,0.666609041,8.29,0.05,6.45,0,0.4,1.49,0.76,0,0.4,0,0.2,0,8.411,0.2,4.06
AR5.12.2018.0,AR,2018,5,12,AR5.12.2018,0,10,1,0.07,0.08,0.14,0.14,1,1,1,1277,24.7,36,2.980469336,0.640287766,8.18,0.03,4.7,0,0.2,2.38,1.59,0,0.7,0,0.1,0,5.688,0.06,1.66
AR6.8.2018.0,AR,2018,6,8,AR6.8.2018,0,11,0.963963964,0.092,0.094,0.15,0.15,0.891891892,1,1,1718,28.8,93.3,7.169230943,0.801623929,8.6,0.04,3.15,0,0.05,0.67,0.44,0,0.7,0,0.25,0,4.371,0.09,3.23
AR7.1.2018.0,AR,2018,7,1,AR7.1.2018,0,12,1,0.21,0.233333333,0.25,0.24,1,1,1,1541,28.4,57.6,4.459166915,0.721305379,7.83,0.25,5.4,0,0.2,0.45,0.24,0,0.8,0,0,0,2.02,0.24,1.31
AR3.3.2018.25,AR,2018,3,3,AR3.3.2018,25,8,0.783783784,0.11,0.153333333,0.24,0.24,0.945945946,0.540540541,0.864864865,1400,20.7,69.2,6.177581595,0.769803417,8.01,0.11,2.58,0.77,0.3,0,0.49,0,0.6,0,0.1,0,10.593,0.35,2.15
AR4.7.2018.25,AR,2018,4,7,AR4.7.2018,25,9,0.963963964,0.03,0.093333333,0.16,0.16,0.972972973,0.945945946,0.972972973,1287,23.1,71.5,6.098267849,0.668233959,8.27,0.09,3.8,0,0.1,1.62,0.88,0,0.8,0,0.1,0,9.169,0.14,0.89
AR5.12.2018.25,AR,2018,5,12,AR5.12.2018,25,10,0.900900901,0.14,0.14,0.24,0.24,1,0.756756757,0.945945946,1282,24.5,66.5,5.525832457,0.645656322,8.22,0.04,3.4,0,0.2,2.49,1.48,0,0.8,0,0,0,5.839,0.17,1.9
AR6.8.2018.25,AR,2018,6,8,AR6.8.2018,25,11,0.954954955,0.02,0.08,0.16,0.16,1,0.864864865,1,1717,30,96.1,7.232847813,0.782145068,8.86,0.06,3.1,0,0.45,2.29,1.65,0,0.4,0.1,0.05,0,4.563,0,3.27
AR7.1.2018.25,AR,2018,7,1,AR7.1.2018,25,12,0.833333333,0.04,0.066666667,0.14,0.14,1,0.527027027,0.972972973,1710,28.5,57.7,4.457055184,0.802571173,7.9,0.02,3.1,0,0.3,0.16,0.18,0,0.7,0,0,0,1.91,0.22,1.29
AR3.3.2018.50,AR,2018,3,3,AR3.3.2018,50,8,0.495495495,0.17,0.18,0.24,0.24,0.351351351,0.648648649,0.486486486,1403,20.6,68.8,6.153812159,0.773289279,8.01,0.13,1.68,0.29,0.3,0.13,0.14,0,0.6,0,0.1,0,10.055,0.21,3.19
AR4.7.2018.50,AR,2018,4,7,AR4.7.2018,50,9,0.369369369,0.12,0.105,0.15,0.15,0.324324324,0.486486486,0.297297297,1290,23.2,70.7,6.018646632,0.668395423,8.23,0.045,2.7,0,0.1,0.2,0.26,0.3,0.6,0,0,0,8.186,0.04,5.19
AR5.12.2018.50,AR,2018,5,12,AR5.12.2018,50,10,0.423423423,0.19,0.123333333,0.19,0.11,0.72972973,0.27027027,0.27027027,1276,24.7,63.6,5.265511508,0.639765129,8.2,0.07,3,0,0,1.09,0.59,0,1,0,0,0,3.928,0.05,1.75
AR6.8.2018.50,AR,2018,6,8,AR6.8.2018,50,11,0.738738739,0.05,0.06,0.07,0.07,0.648648649,1,0.567567568,1681,29.5,89.7,6.810153516,0.77264763,8.7,0.06,2.15,0,0,1.42,1.25,0.75,0.2,0.05,0,0,4.904,0,2.76
AR7.1.2018.50,AR,2018,7,1,AR7.1.2018,50,12,0.666666667,0.19,0.193333333,0.2,0.2,0.783783784,0.648648649,0.567567568,1713,28.5,54.3,4.194386792,0.80404451,7.91,0.19,1.6,0,0,1.17,0.55,0,1,0,0,0,7.45,0.12,1.98
GC3.2.2018.0,GC,2018,3,2,GC3.2.2018,0,8,0.522522523,0.28,0.423333333,0.69,0.69,0.486486486,0.621621622,0.459459459,384.6,16.45,52.55,5.31604956,0.231387927,7.52,0.3,7.5,0.38,0.75,0.11,0.29,0,0,0,0.25,0,0.0099,0.3,0.08
GC3.30.2018.0,GC,2018,3,30,GC3.30.2018,0,9,0.972972973,0.18,0.17,0.28,0.28,0.972972973,0.972972973,0.972972973,281.8,20.4,33.6,3.028290092,0.149313109,6.96,0.05,4.1,0,0.9,0.16,0.14,0,0,0,0.1,0,0.033,0.05,1.65
GC5.4.2018.0,GC,2018,5,4,GC5.4.2018,0,10,0.981981982,0.08,0.083333333,0.12,0.12,0.945945946,1,1,676,24.6,60,4.985396214,0.332094499,7.96,0.05,3.9,0,0.9,0.06,0.37,0,0,0,0.1,0,1.138,0.03,0.11
GC6.6.2018.0,GC,2018,6,6,GC6.6.2018,0,11,1,0.06,0.076666667,0.12,0.12,1,1,1,732,26.2,3.3,0.266255214,0.348660078,8.08,0.05,3.5,0,1,0.43,1.6,0,0,0,0,0,0.023,0.02,0.79
GC7.5.2018.0,GC,2018,7,5,GC7.5.2018,0,12,0.936936937,0.1,0.103333333,0.12,0.09,0.891891892,0.972972973,0.945945946,475.6,26.6,52.6,4.21638161,0.222724886,7.87,0.12,7.5,0,1,0.08,0.14,0,0,0,0,0,0.2,0.12,0.19
GC7.27.2018.0,GC,2018,7,27,GC7.27.2018,0,13,0.770270271,0.07,0.035,0.07,0.03,0.837837838,0.783783784,0.756756757,433.3,27.2,53.8,4.266919511,0.200369443,7.49,0.005,0.78,0.02,1,0.12,0.1,0,0,0,0,0,0.11,0.11,0.05
GC3.2.2018.50,GC,2018,3,2,GC3.2.2018,50,8,0.747747748,0.1,0.12,0.23,0.23,0.972972973,0.756756757,0.513513514,387.35,16.7,47.95,4.803481014,0.230948219,7.71,0.03,13.5,0,0.95,0.73,1.69,0,0,0,0.05,0,0.013,0.17,0.09
GC3.30.2018.50,GC,2018,3,30,GC3.30.2018,50,9,0.855855856,0.04,0.133333333,0.31,0.31,0.972972973,0.783783784,0.810810811,286.1,20.4,31.8,2.866021865,0.15159121,7.5,0.05,4.85,0,0.85,0.38,0.81,0,0,0,0.15,0,0.062,0.05,0.05
GC5.4.2018.50,GC,2018,5,4,GC5.4.2018,50,10,0.936936937,0.01,0.063333333,0.12,0.12,0.864864865,0.972972973,0.972972973,522,24.7,81.6,6.770602733,0.254376941,8.34,0.06,3.3,0.32,0.75,0.25,1.07,0,0.2,0,0.05,0,0.02,0.08,0.03
GC6.6.2018.50,GC,2018,6,6,GC6.6.2018,50,11,0.936936937,0.075,0.165,0.32,0.29,1,0.891891892,0.918918919,0,26.525,29.675,2.378742844,0.265197911,8.0475,0.1225,7.1,0.69125,1,0.64,1.83,0,0,0,0,0,0.026,0,0.16
GC7.5.2018.50,GC,2018,7,5,GC7.5.2018,50,12,0.972972973,0.06,0.12,0.27,0.27,1,0.918918919,1,505,26.3,48.2,3.884326946,0.238100878,7.89,0.03,2.3,0,0.9,0.06,0.08,0,0.1,0,0,0,0.19,0.12,0.11
GC7.27.2018.50,GC,2018,7,27,GC7.27.2018,50,13,0.770270271,0.04,0.053333333,0.09,0.09,0.837837838,0.783783784,0.756756757,433.7,27,51,4.059333598,0.201337758,7.96,0.03,1.55,0.09,1,0.63,0.38,0,0,0,0,0,0.06,0.21,0.04
GC3.2.2018.75,GC,2018,3,2,GC3.2.2018,75,8,0.486486486,0.55,0.533333333,0.63,0.63,0.486486486,0.486486486,0.486486486,385.35,16.5,48.75,4.924344028,0.230951712,7.82,0.42,9.5,0,0.95,1.75,1.79,0,0,0,0.05,0,0.024,0.18,0.09
GC3.30.2018.75,GC,2018,3,30,GC3.30.2018,75,9,0.711711712,0.08,0.306666667,0.73,0.73,0.891891892,0.891891892,0.351351351,289.9,20.4,31.1,2.80290012,0.153605939,7.68,0.11,9.2,0.42,0.3,0.24,0.43,0,0,0,0.7,0,0.088,0.05,0.08
GC5.4.2018.75,GC,2018,5,4,GC5.4.2018,75,10,0.891891892,0.25,0.283333333,0.56,0.56,0.918918919,0.864864865,0.891891892,677,24.2,37.5,3.139043096,0.335405102,8.19,0.04,8.9,0.51,0.2,0.14,0.6,0,0.7,0,0.1,0,0.038,0.13,0.03
GC6.6.2018.75,GC,2018,6,6,GC6.6.2018,75,11,0.927927928,0.08,0.203333333,0.33,0.33,0.891891892,1,0.891891892,569,26.7,10.2,0.815952943,0.266681794,8.37,0.2,9.9,2.765,1,0.58,0.695,0,0,0,0,0,0.021,0,0.15
GC7.5.2018.75,GC,2018,7,5,GC7.5.2018,75,12,0.936936937,0.1,0.223333333,0.52,0.52,1,0.918918919,0.891891892,503,26.3,47.8,3.852112637,0.237143866,7.91,0.05,10.6,0.01,0.9,0.03,0.05,0,0,0,0.1,0,0.19,0.07,0.1
