site,date,stream_area,order,family,genus,species,abun,total_abun,guild,lowest_taxon,month
Transition,2018-07-01,245.625,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,8,15,fish,G.affinis,July
Transition,2018-07-01,245.625,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,1,15,fish,C.lutrensis,July
Transition,2018-07-01,245.625,Cypriniformes,Leuciscidae,Notropis,texanus,2,15,fish,N.texanus,July
Transition,2018-07-01,245.625,Siluriformes,Ictaluridae,Ictalurus,punctatus,1,15,fish,I.punctatus,July
Sub-Humid,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,cyanellus,3,152,fish,L.cyanellus,May
Sub-Humid,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,gulosus,6,152,fish,L.gulosus,May
Sub-Humid,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,macrochirus,10,152,fish,L.macrochirus,May
Sub-Humid,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,megalotis,27,152,fish,L.megalotis,May
Sub-Humid,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,miniatus,2,152,fish,L.miniatus,May
Sub-Humid,2018-05-04,380.625,Cyprinidontiformes,Fundulidae,Fundulus,grandis,25,152,fish,F.grandis,May
Sub-Humid,2018-05-04,380.625,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,71,152,fish,G.affinis,May
Sub-Humid,2018-05-04,380.625,Cypriniformes,Leuciscidae,Notropis,texanus,7,152,fish,N.texanus,May
Sub-Humid,2018-05-04,380.625,Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,6,152,fish,L.oculatus,May
Sub-Humid,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,auritus,7,99,fish,L.auritus,June
Sub-Humid,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,cyanellus,2,99,fish,L.cyanellus,June
Sub-Humid,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,macrochirus,10,99,fish,L.macrochirus,June
Sub-Humid,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,megalotis,8,99,fish,L.megalotis,June
Sub-Humid,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,microlophus,2,99,fish,L.microlophus,June
Sub-Humid,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Micropterus,salmoides,3,99,fish,M.salmoides,June
Sub-Humid,2018-06-06,449.0625,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,51,99,fish,G.affinis,June
Sub-Humid,2018-06-06,449.0625,Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,2,99,fish,L.oculatus,June
Sub-Humid,2018-06-06,449.0625,Siluriformes,Ictaluridae,Noturus,gyrinus,20,99,fish,N.gyrinus,June
Sub-Humid,2018-07-05,478.125,Centrachiformes,Centrarchidae,Lepomis,macrochirus,4,9,fish,L.macrochirus,July
Sub-Humid,2018-07-05,478.125,Centrachiformes,Centrarchidae,Lepomis,megalotis,3,9,fish,L.megalotis,July
Sub-Humid,2018-07-05,478.125,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,2,9,fish,G.affinis,July
Semi-Arid,2018-05-12,217.125,Cichliformes,Cichlidae,Herichthys,cyanoguttatum,14,199,fish,H.cyanoguttatum,May
Semi-Arid,2018-05-12,217.125,Cichliformes,Cichlidae,Oreochromis,aureus,3,199,fish,O.aureus,May
Semi-Arid,2018-05-12,217.125,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,63,199,fish,G.affinis,May
Semi-Arid,2018-05-12,217.125,Cyprinidontiformes,Poeciliidae,Poecilia,latipinna,97,199,fish,P.latipinna,May
Semi-Arid,2018-05-12,217.125,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,16,199,fish,C.lutrensis,May
Semi-Arid,2018-05-12,217.125,Cypriniformes,Leuciscidae,Pimephales,vigilax,8,199,fish,P.vigilax,May
Semi-Arid,2018-06-01,230.34375,Cichliformes,Cichlidae,Herichthys,cyanoguttatum,58,410,fish,H.cyanoguttatum,June
Semi-Arid,2018-06-01,230.34375,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,61,410,fish,G.affinis,June
Semi-Arid,2018-06-01,230.34375,Cyprinidontiformes,Poeciliidae,Poecilia,latipinna,285,410,fish,P.latipinna,June
Semi-Arid,2018-06-01,230.34375,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,3,410,fish,C.lutrensis,June
Semi-Arid,2018-06-01,230.34375,Cypriniformes,Leuciscidae,Pimephales,vigilax,6,410,fish,P.vigilax,June
Semi-Arid,2018-07-01,206.25,Centrachiformes,Centrarchidae,Lepomis,gulosus,4,149,fish,L.gulosus,July
Semi-Arid,2018-07-01,206.25,Cichliformes,Cichlidae,Herichthys,cyanoguttatum,21,149,fish,H.cyanoguttatum,July
Semi-Arid,2018-07-01,206.25,Cyprinidontiformes,Cyprinidae,Cyprinus,carpio,4,149,fish,C.carpio,July
Semi-Arid,2018-07-01,206.25,Cyprinidontiformes,Cyprinodontidae,Cyprinodon,variegatus,7,149,fish,C.variegatus,July
Semi-Arid,2018-07-01,206.25,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,21,149,fish,G.affinis,July
Semi-Arid,2018-07-01,206.25,Cyprinidontiformes,Poeciliidae,Poecilia,latipinna,73,149,fish,P.latipinna,July
Semi-Arid,2018-07-01,206.25,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,14,149,fish,C.lutrensis,July
Semi-Arid,2018-07-01,206.25,Cypriniformes,Leuciscidae,Pimephales,vigilax,7,149,fish,P.vigilax,July
Transition,2018-05-12,NA,Trichoptera,Hydroptilidae,Agraylea,NA,2.150537634408602,430.1075268817204,invertebrate,Agraylea,May
Transition,2018-05-12,NA,Odonata,Coenagrionidae,Argia,NA,41.39784946236559,430.1075268817204,invertebrate,Argia,May
Transition,2018-05-12,NA,Ephemeroptera,Caenidae,Caenis,NA,93.01075268817203,430.1075268817204,invertebrate,Caenis,May
Transition,2018-05-12,NA,Trichoptera,Philopotamidae,Chimarra,NA,4.838709677419355,430.1075268817204,invertebrate,Chimarra,May
Transition,2018-05-12,NA,Diptera,Chironomidae,NA,NA,4.838709677419355,430.1075268817204,invertebrate,Chironomidae,May
Transition,2018-05-12,NA,Diptera,Chironomidae,NA,NA,10.75268817204301,430.1075268817204,invertebrate,Chironomidae,May
Transition,2018-05-12,NA,Odonata,Coenagrionidae,NA,NA,3.225806451612903,430.1075268817204,invertebrate,Coenagrionidae,May
Transition,2018-05-12,NA,Coleoptera,Elmidae,Dubiraphia,NA,17.741935483870968,430.1075268817204,invertebrate,Dubiraphia,May
Transition,2018-05-12,NA,Odonata,Coenagrionidae,Enallagma,NA,5.376344086021505,430.1075268817204,invertebrate,Enallagma,May
Transition,2018-05-12,NA,Odonata,Gomphidae,Erpetogomphus,NA,4.301075268817204,430.1075268817204,invertebrate,Erpetogomphus,May
Transition,2018-05-12,NA,Ephemeroptera,Baetidae,Fallceon,NA,4.838709677419355,430.1075268817204,invertebrate,Fallceon,May
Transition,2018-05-12,NA,Coleoptera,Elmidae,Hexacylloepus,NA,5.913978494623656,430.1075268817204,invertebrate,Hexacylloepus,May
Transition,2018-05-12,NA,Amphipoda,Hyalellidae,Hyalella,NA,16.666666666666664,430.1075268817204,invertebrate,Hyalella,May
Transition,2018-05-12,NA,Coleoptera,Hydrochidae,Hydrochus,NA,9.67741935483871,430.1075268817204,invertebrate,Hydrochus,May
Transition,2018-05-12,NA,Coleoptera,Dytiscidae,Hydrovatus,NA,2.150537634408602,430.1075268817204,invertebrate,Hydrovatus,May
Transition,2018-05-12,NA,Ephemeroptera,Isonychiidae,Isonychia,NA,2.6881720430107525,430.1075268817204,invertebrate,Isonychia,May
Transition,2018-05-12,NA,Coleoptera,Hydrophilidae,Laccobius,NA,2.6881720430107525,430.1075268817204,invertebrate,Laccobius,May
Transition,2018-05-12,NA,Gastropoda,Thiaridae,Melanoides,NA,6.989247311827957,430.1075268817204,invertebrate,Melanoides,May
Transition,2018-05-12,NA,Hemiptera,Gerridae,Metrobates,NA,4.838709677419355,430.1075268817204,invertebrate,Metrobates,May
Transition,2018-05-12,NA,Coleoptera,Elmidae,Microcylloepus,NA,5.376344086021505,430.1075268817204,invertebrate,Microcylloepus,May
Transition,2018-05-12,NA,Coleoptera,Dytiscidae,Neoporus,NA,2.6881720430107525,430.1075268817204,invertebrate,Neoporus,May
Transition,2018-05-12,NA,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,NA,37.096774193548384,430.1075268817204,invertebrate,Paraleptophlebia,May
Transition,2018-05-12,NA,Coleoptera,Haliplidae,Peltodytes,NA,2.150537634408602,430.1075268817204,invertebrate,Peltodytes,May
Transition,2018-05-12,NA,Odonata,Gomphidae,Phyllogomphoides,NA,2.150537634408602,430.1075268817204,invertebrate,Phyllogomphoides,May
Transition,2018-05-12,NA,Hemiptera,Veliidae,Rhagovelia,NA,6.451612903225806,430.1075268817204,invertebrate,Rhagovelia,May
Transition,2018-05-12,NA,Coleoptera,Scirtidae,NA,NA,22.043010752688172,430.1075268817204,invertebrate,Scirtidae,May
Transition,2018-05-12,NA,Trichoptera,Hydropsychidae,Smicridea,NA,25.268817204301072,430.1075268817204,invertebrate,Smicridea,May
Transition,2018-05-12,NA,Coleoptera,Elmidae,Stenelmis,NA,46.236559139784944,430.1075268817204,invertebrate,Stenelmis,May
Transition,2018-05-12,NA,Diptera,Chironomidae,NA,NA,21.50537634408602,430.1075268817204,invertebrate,Chironomidae,May
Transition,2018-05-12,NA,Trichoptera,NA,NA,NA,2.150537634408602,430.1075268817204,invertebrate,Trichoptera,May
Transition,2018-05-12,NA,Ephemeroptera,Leptohyphidae,Tricorythodes,NA,12.903225806451612,430.1075268817204,invertebrate,Tricorythodes,May
Transition,2018-06-08,NA,Odonata,Coenagrionidae,Argia,NA,34.40860215053763,576.3440860215054,invertebrate,Argia,June
Transition,2018-06-08,NA,Ephemeroptera,Caenidae,Caenis,NA,34.40860215053763,576.3440860215054,invertebrate,Caenis,June
Transition,2018-06-08,NA,Ephemeroptera,Baetidae,Callibaetis,NA,8.602150537634408,576.3440860215054,invertebrate,Callibaetis,June
Transition,2018-06-08,NA,Trichoptera,Philopotamidae,Chimarra,NA,4.301075268817204,576.3440860215054,invertebrate,Chimarra,June
Transition,2018-06-08,NA,Diptera,Chironomidae,NA,NA,4.301075268817204,576.3440860215054,invertebrate,Chironomidae,June
Transition,2018-06-08,NA,Diptera,Chironomidae,NA,NA,81.72043010752688,576.3440860215054,invertebrate,Chironomidae,June
Transition,2018-06-08,NA,Coleoptera,Elmidae,Dubiraphia,NA,38.70967741935484,576.3440860215054,invertebrate,Dubiraphia,June
Transition,2018-06-08,NA,Odonata,Coenagrionidae,Enallagma,NA,4.301075268817204,576.3440860215054,invertebrate,Enallagma,June
Transition,2018-06-08,NA,Odonata,Gomphidae,Erpetogomphus,NA,8.602150537634408,576.3440860215054,invertebrate,Erpetogomphus,June
Transition,2018-06-08,NA,Odonata,Calopterygidae,Hetaerina,NA,12.903225806451612,576.3440860215054,invertebrate,Hetaerina,June
Transition,2018-06-08,NA,Coleoptera,Elmidae,Heterelmis,NA,51.61290322580645,576.3440860215054,invertebrate,Heterelmis,June
Transition,2018-06-08,NA,Coleoptera,Elmidae,Hexacylloepus,NA,17.204301075268816,576.3440860215054,invertebrate,Hexacylloepus,June
Transition,2018-06-08,NA,Amphipoda,Hyalellidae,Hyalella,NA,8.602150537634408,576.3440860215054,invertebrate,Hyalella,June
Transition,2018-06-08,NA,Coleoptera,Hydrochidae,Hydrochus,NA,12.903225806451612,576.3440860215054,invertebrate,Hydrochus,June
Transition,2018-06-08,NA,Hemiptera,Hydrometridae,Hydrometra,NA,4.301075268817204,576.3440860215054,invertebrate,Hydrometra,June
Transition,2018-06-08,NA,Gastropoda,Thiaridae,Melanoides,NA,38.70967741935484,576.3440860215054,invertebrate,Melanoides,June
Transition,2018-06-08,NA,Coleoptera,Elmidae,Microcylloepus,NA,4.301075268817204,576.3440860215054,invertebrate,Microcylloepus,June
Transition,2018-06-08,NA,Hemiptera,Veliidae,Microvelia,NA,12.903225806451612,576.3440860215054,invertebrate,Microvelia,June
Transition,2018-06-08,NA,Trichoptera,Leptoceridae,Nectopsyche,NA,4.301075268817204,576.3440860215054,invertebrate,Nectopsyche,June
Transition,2018-06-08,NA,Diptera,Stratiomyidae,Odontomyia,NA,8.602150537634408,576.3440860215054,invertebrate,Odontomyia,June
Transition,2018-06-08,NA,Diptera,Ceratopogonidae,Probezzia,NA,4.301075268817204,576.3440860215054,invertebrate,Probezzia,June
Transition,2018-06-08,NA,Decapoda,Cambaridae,Procambarus,NA,4.301075268817204,576.3440860215054,invertebrate,Procambarus,June
Transition,2018-06-08,NA,Hemiptera,Nepidae,Ranatra,NA,4.301075268817204,576.3440860215054,invertebrate,Ranatra,June
Transition,2018-06-08,NA,Hemiptera,Veliidae,Rhagovelia,NA,34.40860215053763,576.3440860215054,invertebrate,Rhagovelia,June
Transition,2018-06-08,NA,Trichoptera,Hydropsychidae,Smicridea,NA,8.602150537634408,576.3440860215054,invertebrate,Smicridea,June
Transition,2018-06-08,NA,Ephemeroptera,Heptageniidae,Stenacron,NA,4.301075268817204,576.3440860215054,invertebrate,Stenacron,June
Transition,2018-06-08,NA,Coleoptera,Elmidae,Stenelmis,NA,64.51612903225806,576.3440860215054,invertebrate,Stenelmis,June
Transition,2018-06-08,NA,Diptera,Chironomidae,NA,NA,51.61290322580645,576.3440860215054,invertebrate,Chironomidae,June
Transition,2018-06-08,NA,Ephemeroptera,Leptohyphidae,Tricorythodes,NA,4.301075268817204,576.3440860215054,invertebrate,Tricorythodes,June
Transition,2018-07-01,NA,Hemiptera,Aphididae,NA,NA,10.75268817204301,768.2795698924731,invertebrate,Aphididae,July
Transition,2018-07-01,NA,Odonata,Coenagrionidae,Argia,NA,16.666666666666664,768.2795698924731,invertebrate,Argia,July
Transition,2018-07-01,NA,Hemiptera,Belostomatidae,Belostoma,NA,5.376344086021505,768.2795698924731,invertebrate,Belostoma,July
Transition,2018-07-01,NA,Ephemeroptera,Caenidae,Caenis,NA,112.9032258064516,768.2795698924731,invertebrate,Caenis,July
Transition,2018-07-01,NA,Diptera,Chironomidae,NA,NA,138.17204301075267,768.2795698924731,invertebrate,Chironomidae,July
Transition,2018-07-01,NA,Bivalva,Corbiculidae,Corbicula,NA,23.118279569892472,768.2795698924731,invertebrate,Corbicula,July
Transition,2018-07-01,NA,Coleoptera,Elmidae,Dubiraphia,NA,5.913978494623656,768.2795698924731,invertebrate,Dubiraphia,July
Transition,2018-07-01,NA,Odonata,Coenagrionidae,Enallagma,NA,11.827956989247312,768.2795698924731,invertebrate,Enallagma,July
Transition,2018-07-01,NA,Ephemeroptera,Baetidae,Fallceon,NA,16.129032258064516,768.2795698924731,invertebrate,Fallceon,July
Transition,2018-07-01,NA,Coleoptera,Elmidae,Heterelmis,NA,46.236559139784944,768.2795698924731,invertebrate,Heterelmis,July
Transition,2018-07-01,NA,Amphipoda,Hyalellidae,Hyalella,NA,148.92473118279568,768.2795698924731,invertebrate,Hyalella,July
Transition,2018-07-01,NA,Hemiptera,Hydrometridae,Hydrometra,NA,5.376344086021505,768.2795698924731,invertebrate,Hydrometra,July
Transition,2018-07-01,NA,Trichoptera,Hydroptilidae,NA,NA,5.376344086021505,768.2795698924731,invertebrate,Hydroptilidae,July
Transition,2018-07-01,NA,Coleoptera,Elmidae,Microcylloepus,NA,11.29032258064516,768.2795698924731,invertebrate,Microcylloepus,July
Transition,2018-07-01,NA,Odonata,Aeshnidae,Nasiaeschna,NA,12.365591397849462,768.2795698924731,invertebrate,Nasiaeschna,July
Transition,2018-07-01,NA,Trichoptera,Leptoceridae,Nectopsyche,NA,5.376344086021505,768.2795698924731,invertebrate,Nectopsyche,July
Transition,2018-07-01,NA,Decapoda,Palaemonidae,Palaemon,NA,10.75268817204301,768.2795698924731,invertebrate,Palaemon,July
Transition,2018-07-01,NA,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,NA,60.75268817204301,768.2795698924731,invertebrate,Paraleptophlebia,July
Transition,2018-07-01,NA,Gastropoda,Physidae,Physa,NA,5.376344086021505,768.2795698924731,invertebrate,Physa,July
Transition,2018-07-01,NA,Diptera,Ceratopogonidae,Probezzia,NA,5.376344086021505,768.2795698924731,invertebrate,Probezzia,July
Transition,2018-07-01,NA,Trichoptera,Hydropsychidae,Smicridea,NA,5.376344086021505,768.2795698924731,invertebrate,Smicridea,July
Transition,2018-07-01,NA,Coleoptera,Elmidae,Stenelmis,NA,46.774193548387096,768.2795698924731,invertebrate,Stenelmis,July
Transition,2018-07-01,NA,Diptera,Chironomidae,NA,NA,36.02150537634408,768.2795698924731,invertebrate,Chironomidae,July
Transition,2018-07-01,NA,Ephemeroptera,Leptohyphidae,Tricorythodes,NA,22.043010752688172,768.2795698924731,invertebrate,Tricorythodes,July
Sub-Humid,2018-05-04,NA,Ephemeroptera,Caenidae,Caenis,NA,89.78494623655914,716.6666666666666,invertebrate,Caenis,May
Sub-Humid,2018-05-04,NA,Ephemeroptera,Baetidae,Callibaetis,NA,10.75268817204301,716.6666666666666,invertebrate,Callibaetis,May
Sub-Humid,2018-05-04,NA,Diptera,Ceratopogonidae,NA,NA,5.376344086021505,716.6666666666666,invertebrate,Ceratopogonidae,May
Sub-Humid,2018-05-04,NA,Diptera,Chironomidae,NA,NA,5.376344086021505,716.6666666666666,invertebrate,Chironomidae,May
Sub-Humid,2018-05-04,NA,Diptera,Chironomidae,NA,NA,50,716.6666666666666,invertebrate,Chironomidae,May
Sub-Humid,2018-05-04,NA,Bivalva,Corbiculidae,Corbicula,NA,6.451612903225806,716.6666666666666,invertebrate,Corbicula,May
Sub-Humid,2018-05-04,NA,Coleoptera,Elmidae,Dubiraphia,NA,12.365591397849462,716.6666666666666,invertebrate,Dubiraphia,May
Sub-Humid,2018-05-04,NA,Amphipoda,Hyalellidae,Hyalella,NA,403.76344086021504,716.6666666666666,invertebrate,Hyalella,May
Sub-Humid,2018-05-04,NA,Coleoptera,Hydrochidae,Hydrochus,NA,12.365591397849462,716.6666666666666,invertebrate,Hydrochus,May
Sub-Humid,2018-05-04,NA,Coleoptera,Elmidae,Microcylloepus,NA,5.376344086021505,716.6666666666666,invertebrate,Microcylloepus,May
Sub-Humid,2018-05-04,NA,Hemiptera,Veliidae,Microvelia,NA,5.913978494623656,716.6666666666666,invertebrate,Microvelia,May
Sub-Humid,2018-05-04,NA,Coleoptera,Dytiscidae,Neoporus,NA,5.376344086021505,716.6666666666666,invertebrate,Neoporus,May
Sub-Humid,2018-05-04,NA,Diptera,Ceratopogonidae,Probezzia,NA,6.451612903225806,716.6666666666666,invertebrate,Probezzia,May
Sub-Humid,2018-05-04,NA,Coleoptera,Scirtidae,NA,NA,17.204301075268816,716.6666666666666,invertebrate,Scirtidae,May
Sub-Humid,2018-05-04,NA,Coleoptera,Elmidae,Stenelmis,NA,5.913978494623656,716.6666666666666,invertebrate,Stenelmis,May
Sub-Humid,2018-05-04,NA,Ephemeroptera,Heptageniidae,Stenonema,NA,40.32258064516129,716.6666666666666,invertebrate,Stenonema,May
Sub-Humid,2018-05-04,NA,Diptera,Chironomidae,NA,NA,17.741935483870968,716.6666666666666,invertebrate,Chironomidae,May
Sub-Humid,2018-05-04,NA,Hemiptera,Corixidae,Trichocorixa,NA,5.376344086021505,716.6666666666666,invertebrate,Trichocorixa,May
Sub-Humid,2018-06-06,NA,Ephemeroptera,Baetidae,NA,NA,8.602150537634408,2692.47311827957,invertebrate,Baetidae,June
Sub-Humid,2018-06-06,NA,Hemiptera,Belostomatidae,Belostoma,NA,8.602150537634408,2692.47311827957,invertebrate,Belostoma,June
Sub-Humid,2018-06-06,NA,Ephemeroptera,Caenidae,Caenis,NA,8.602150537634408,2692.47311827957,invertebrate,Caenis,June
Sub-Humid,2018-06-06,NA,Diptera,Chironomidae,NA,NA,8.602150537634408,2692.47311827957,invertebrate,Chironomidae,June
Sub-Humid,2018-06-06,NA,Hemiptera,Nepidae,Curicta,NA,8.602150537634408,2692.47311827957,invertebrate,Curicta,June
Sub-Humid,2018-06-06,NA,Coleoptera,Gyrinidae,Dineutus,NA,17.204301075268816,2692.47311827957,invertebrate,Dineutus,June
Sub-Humid,2018-06-06,NA,Coleoptera,Elmidae,Dubiraphia,NA,34.40860215053763,2692.47311827957,invertebrate,Dubiraphia,June
Sub-Humid,2018-06-06,NA,Odonata,Coenagrionidae,Enallagma,NA,17.204301075268816,2692.47311827957,invertebrate,Enallagma,June
Sub-Humid,2018-06-06,NA,Bivalva,Pisidiidae,Eupera,NA,8.602150537634408,2692.47311827957,invertebrate,Eupera,June
Sub-Humid,2018-06-06,NA,Amphipoda,Hyalellidae,Hyalella,NA,2374.1935483870966,2692.47311827957,invertebrate,Hyalella,June
Sub-Humid,2018-06-06,NA,Diptera,Tipulidae,Megistocera,NA,17.204301075268816,2692.47311827957,invertebrate,Megistocera,June
Sub-Humid,2018-06-06,NA,Diptera,Tipulidae,Ormosia,NA,68.81720430107526,2692.47311827957,invertebrate,Ormosia,June
Sub-Humid,2018-06-06,NA,Coleoptera,Haliplidae,Peltodytes,NA,8.602150537634408,2692.47311827957,invertebrate,Peltodytes,June
Sub-Humid,2018-06-06,NA,Coleoptera,Scirtidae,NA,NA,60.21505376344086,2692.47311827957,invertebrate,Scirtidae,June
Sub-Humid,2018-06-06,NA,Coleoptera,Elmidae,Stenelmis,NA,25.806451612903224,2692.47311827957,invertebrate,Stenelmis,June
Sub-Humid,2018-06-06,NA,Diptera,Chironomidae,NA,NA,17.204301075268816,2692.47311827957,invertebrate,Chironomidae,June
Sub-Humid,2018-07-05,NA,Ephemeroptera,Baetidae,NA,NA,6.989247311827957,430.1075268817204,invertebrate,Baetidae,July
Sub-Humid,2018-07-05,NA,Ephemeroptera,Caenidae,Caenis,NA,40.32258064516129,430.1075268817204,invertebrate,Caenis,July
Sub-Humid,2018-07-05,NA,Diptera,Chironomidae,NA,NA,18.817204301075268,430.1075268817204,invertebrate,Chironomidae,July
Sub-Humid,2018-07-05,NA,Coleoptera,Elmidae,Dubiraphia,NA,16.666666666666664,430.1075268817204,invertebrate,Dubiraphia,July
Sub-Humid,2018-07-05,NA,Odonata,Coenagrionidae,Enallagma,NA,6.989247311827957,430.1075268817204,invertebrate,Enallagma,July
Sub-Humid,2018-07-05,NA,Ephemeroptera,Baetidae,Fallceon,NA,27.419354838709676,430.1075268817204,invertebrate,Fallceon,July
Sub-Humid,2018-07-05,NA,Amphipoda,Hyalellidae,Hyalella,NA,227.9569892473118,430.1075268817204,invertebrate,Hyalella,July
Sub-Humid,2018-07-05,NA,Decapoda,Palaemonidae,Palaemon,NA,25.268817204301072,430.1075268817204,invertebrate,Palaemon,July
Sub-Humid,2018-07-05,NA,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,NA,6.989247311827957,430.1075268817204,invertebrate,Paraleptophlebia,July
Sub-Humid,2018-07-05,NA,Odonata,Gomphidae,Phyllogomphoides,NA,3.225806451612903,430.1075268817204,invertebrate,Phyllogomphoides,July
Sub-Humid,2018-07-05,NA,Diptera,Ceratopogonidae,Probezzia,NA,3.225806451612903,430.1075268817204,invertebrate,Probezzia,July
Sub-Humid,2018-07-05,NA,Coleoptera,Scirtidae,NA,NA,6.451612903225806,430.1075268817204,invertebrate,Scirtidae,July
Sub-Humid,2018-07-05,NA,Ephemeroptera,Heptageniidae,Stenacron,NA,3.7634408602150535,430.1075268817204,invertebrate,Stenacron,July
Sub-Humid,2018-07-05,NA,Coleoptera,Elmidae,Stenelmis,NA,11.29032258064516,430.1075268817204,invertebrate,Stenelmis,July
Sub-Humid,2018-07-05,NA,Diptera,Chironomidae,NA,NA,21.50537634408602,430.1075268817204,invertebrate,Chironomidae,July
Sub-Humid,2018-07-05,NA,Odonata,Coenagrionidae,Telebasis,NA,3.225806451612903,430.1075268817204,invertebrate,Telebasis,July
Semi-Arid,2018-05-12,NA,Odonata,Coenagrionidae,Argia,NA,9.67741935483871,175.2688172043011,invertebrate,Argia,May
Semi-Arid,2018-05-12,NA,Ephemeroptera,Caenidae,Caenis,NA,74.73118279569893,175.2688172043011,invertebrate,Caenis,May
Semi-Arid,2018-05-12,NA,Diptera,Ceratopogonidae,Ceratopogon,NA,3.225806451612903,175.2688172043011,invertebrate,Ceratopogon,May
Semi-Arid,2018-05-12,NA,Diptera,Chironomidae,NA,NA,3.7634408602150535,175.2688172043011,invertebrate,Chironomidae,May
Semi-Arid,2018-05-12,NA,Diptera,Chironomidae,NA,NA,3.225806451612903,175.2688172043011,invertebrate,Chironomidae,May
Semi-Arid,2018-05-12,NA,Bivalva,Corbiculidae,Corbicula,NA,22.043010752688172,175.2688172043011,invertebrate,Corbicula,May
Semi-Arid,2018-05-12,NA,Odonata,Coenagrionidae,Enallagma,NA,3.225806451612903,175.2688172043011,invertebrate,Enallagma,May
Semi-Arid,2018-05-12,NA,Amphipoda,Hyalellidae,Hyalella,NA,8.064516129032258,175.2688172043011,invertebrate,Hyalella,May
Semi-Arid,2018-05-12,NA,Trichoptera,Hydropsychidae,Hydropsyche,NA,7.526881720430107,175.2688172043011,invertebrate,Hydropsyche,May
Semi-Arid,2018-05-12,NA,Coleoptera,Elmidae,Microcylloepus,NA,3.225806451612903,175.2688172043011,invertebrate,Microcylloepus,May
Semi-Arid,2018-05-12,NA,Hemiptera,Nepidae,Ranatra,NA,3.225806451612903,175.2688172043011,invertebrate,Ranatra,May
Semi-Arid,2018-05-12,NA,Hemiptera,Veliidae,Rhagovelia,NA,13.978494623655914,175.2688172043011,invertebrate,Rhagovelia,May
