site,guild,density_total_mean,density_total_sd,lowest_taxon,density_mean,density_sd,date,stream_area,order,family,genus,species,abun,total_abun,month,density,density_total
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,P.vigilax,0.03227751842605038,0.0055871070032813205,2018-06-01,230.34375,Cypriniformes,Leuciscidae,Pimephales,vigilax,6,410,June,0.026048026048026047,1.7799484466151132
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,P.vigilax,0.03227751842605038,0.0055871070032813205,2018-07-01,206.25,Cypriniformes,Leuciscidae,Pimephales,vigilax,7,149,July,0.03393939393939394,0.7224242424242424
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Anax,2.150537634408602,NA,2018-06-01,NA,Odonata,Aeshnidae,Anax,NA,2.150537634408602,327.9569892473118,June,2.150537634408602,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Aphididae,2.6881720430107525,NA,2018-06-01,NA,Hemiptera,Aphididae,NA,NA,2.6881720430107525,327.9569892473118,June,2.6881720430107525,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Argia,5.376344086021505,3.763440860215054,2018-05-12,NA,Odonata,Coenagrionidae,Argia,NA,9.67741935483871,175.2688172043011,May,9.67741935483871,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Argia,5.376344086021505,3.763440860215054,2018-06-01,NA,Odonata,Coenagrionidae,Argia,NA,2.6881720430107525,327.9569892473118,June,2.6881720430107525,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Argia,5.376344086021505,3.763440860215054,2018-07-01,NA,Odonata,Coenagrionidae,Argia,NA,3.7634408602150535,309.6774193548387,July,3.7634408602150535,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Caenis,46.415770609319,26.56443579023338,2018-05-12,NA,Ephemeroptera,Caenidae,Caenis,NA,74.73118279569893,175.2688172043011,May,74.73118279569893,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Caenis,46.415770609319,26.56443579023338,2018-06-01,NA,Ephemeroptera,Caenidae,Caenis,NA,42.47311827956989,327.9569892473118,June,42.47311827956989,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Caenis,46.415770609319,26.56443579023338,2018-07-01,NA,Ephemeroptera,Caenidae,Caenis,NA,22.043010752688172,309.6774193548387,July,22.043010752688172,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Carabidae,1.6129032258064515,NA,2018-07-01,NA,Coleoptera,Carabidae,NA,NA,1.6129032258064515,309.6774193548387,July,1.6129032258064515,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Ceratopogon,3.225806451612903,NA,2018-05-12,NA,Diptera,Ceratopogonidae,Ceratopogon,NA,3.225806451612903,175.2688172043011,May,3.225806451612903,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Chironomidae,50.73924731182796,72.89256381350987,2018-05-12,NA,Diptera,Chironomidae,NA,NA,3.7634408602150535,175.2688172043011,May,3.7634408602150535,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Chironomidae,50.73924731182796,72.89256381350987,2018-05-12,NA,Diptera,Chironomidae,NA,NA,3.225806451612903,175.2688172043011,May,3.225806451612903,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Chironomidae,50.73924731182796,72.89256381350987,2018-05-12,NA,Diptera,Chironomidae,NA,NA,19.35483870967742,175.2688172043011,May,19.35483870967742,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Chironomidae,50.73924731182796,72.89256381350987,2018-06-01,NA,Diptera,Chironomidae,NA,NA,111.82795698924733,327.9569892473118,June,111.82795698924733,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Chironomidae,50.73924731182796,72.89256381350987,2018-06-01,NA,Diptera,Chironomidae,NA,NA,51.0752688172043,327.9569892473118,June,51.0752688172043,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Chironomidae,50.73924731182796,72.89256381350987,2018-07-01,NA,Diptera,Chironomidae,NA,NA,9.67741935483871,309.6774193548387,July,9.67741935483871,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Chironomidae,50.73924731182796,72.89256381350987,2018-07-01,NA,Diptera,Chironomidae,NA,NA,205.3763440860215,309.6774193548387,July,205.3763440860215,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Chironomidae,50.73924731182796,72.89256381350987,2018-07-01,NA,Diptera,Chironomidae,NA,NA,1.6129032258064515,309.6774193548387,July,1.6129032258064515,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Chrysomelidae,3.225806451612903,NA,2018-07-01,NA,Coleoptera,Chrysomelidae,NA,NA,3.225806451612903,309.6774193548387,July,3.225806451612903,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Corbicula,11.29032258064516,9.45075044690696,2018-05-12,NA,Bivalva,Corbiculidae,Corbicula,NA,22.043010752688172,175.2688172043011,May,22.043010752688172,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Corbicula,11.29032258064516,9.45075044690696,2018-06-01,NA,Bivalva,Corbiculidae,Corbicula,NA,7.526881720430107,327.9569892473118,June,7.526881720430107,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Corbicula,11.29032258064516,9.45075044690696,2018-07-01,NA,Bivalva,Corbiculidae,Corbicula,NA,4.301075268817204,309.6774193548387,July,4.301075268817204,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Enallagma,8.064516129032258,7.030482167001086,2018-05-12,NA,Odonata,Coenagrionidae,Enallagma,NA,3.225806451612903,175.2688172043011,May,3.225806451612903,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Enallagma,8.064516129032258,7.030482167001086,2018-06-01,NA,Odonata,Coenagrionidae,Enallagma,NA,4.838709677419355,327.9569892473118,June,4.838709677419355,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Enallagma,8.064516129032258,7.030482167001086,2018-07-01,NA,Odonata,Coenagrionidae,Enallagma,NA,16.129032258064516,309.6774193548387,July,16.129032258064516,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Erpetogomphus,2.150537634408602,NA,2018-07-01,NA,Odonata,Gomphidae,Erpetogomphus,NA,2.150537634408602,309.6774193548387,July,2.150537634408602,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Hyalella,12.365591397849462,3.7634408602150535,2018-05-12,NA,Amphipoda,Hyalellidae,Hyalella,NA,8.064516129032258,175.2688172043011,May,8.064516129032258,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Hyalella,12.365591397849462,3.7634408602150535,2018-06-01,NA,Amphipoda,Hyalellidae,Hyalella,NA,13.978494623655914,327.9569892473118,June,13.978494623655914,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Hyalella,12.365591397849462,3.7634408602150535,2018-07-01,NA,Amphipoda,Hyalellidae,Hyalella,NA,15.053763440860214,309.6774193548387,July,15.053763440860214,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Hydropsyche,7.526881720430107,NA,2018-05-12,NA,Trichoptera,Hydropsychidae,Hydropsyche,NA,7.526881720430107,175.2688172043011,May,7.526881720430107,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Libellulidae,2.150537634408602,NA,2018-06-01,NA,Odonata,Libellulidae,NA,NA,2.150537634408602,327.9569892473118,June,2.150537634408602,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Melanoides,11.29032258064516,1.520659744487199,2018-06-01,NA,Gastropoda,Thiaridae,Melanoides,NA,12.365591397849462,327.9569892473118,June,12.365591397849462,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Melanoides,11.29032258064516,1.520659744487199,2018-07-01,NA,Gastropoda,Thiaridae,Melanoides,NA,10.21505376344086,309.6774193548387,July,10.21505376344086,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Microcylloepus,6.451612903225806,4.561979233461598,2018-05-12,NA,Coleoptera,Elmidae,Microcylloepus,NA,3.225806451612903,175.2688172043011,May,3.225806451612903,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Microcylloepus,6.451612903225806,4.561979233461598,2018-06-01,NA,Coleoptera,Elmidae,Microcylloepus,NA,9.67741935483871,327.9569892473118,June,9.67741935483871,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Odontomyia,3.7634408602150535,NA,2018-07-01,NA,Diptera,Stratiomyidae,Odontomyia,NA,3.7634408602150535,309.6774193548387,July,3.7634408602150535,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Physa,1.6129032258064515,NA,2018-07-01,NA,Gastropoda,Physidae,Physa,NA,1.6129032258064515,309.6774193548387,July,1.6129032258064515,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Probezzia,8.602150537634408,NA,2018-06-01,NA,Diptera,Ceratopogonidae,Probezzia,NA,8.602150537634408,327.9569892473118,June,8.602150537634408,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Protoneura,18.279569892473116,NA,2018-06-01,NA,Odonata,Protoneuridae,Protoneura,NA,18.279569892473116,327.9569892473118,June,18.279569892473116,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Ranatra,3.225806451612903,NA,2018-05-12,NA,Hemiptera,Nepidae,Ranatra,NA,3.225806451612903,175.2688172043011,May,3.225806451612903,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Rhagovelia,21.774193548387096,11.02478314753219,2018-05-12,NA,Hemiptera,Veliidae,Rhagovelia,NA,13.978494623655914,175.2688172043011,May,13.978494623655914,175.2688172043011
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Rhagovelia,21.774193548387096,11.02478314753219,2018-06-01,NA,Hemiptera,Veliidae,Rhagovelia,NA,29.569892473118276,327.9569892473118,June,29.569892473118276,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Scirtidae,6.182795698924731,2.661154552852598,2018-06-01,NA,Coleoptera,Scirtidae,NA,NA,8.064516129032258,327.9569892473118,June,8.064516129032258,327.9569892473118
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Scirtidae,6.182795698924731,2.661154552852598,2018-07-01,NA,Coleoptera,Scirtidae,NA,NA,4.301075268817204,309.6774193548387,July,4.301075268817204,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Smicridea,1.6129032258064515,NA,2018-07-01,NA,Trichoptera,Hydropsychidae,Smicridea,NA,1.6129032258064515,309.6774193548387,July,1.6129032258064515,309.6774193548387
Semi-Arid,invertebrate,278.05049088359044,65.6908489002996,Stenelmis,3.225806451612903,NA,2018-07-01,NA,Coleoptera,Elmidae,Stenelmis,NA,3.225806451612903,309.6774193548387,July,3.225806451612903,309.6774193548387
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,F.grandis,0.06568144499178982,NA,2018-05-04,380.625,Cyprinidontiformes,Fundulidae,Fundulus,grandis,25,152,May,0.06568144499178982,0.3993431855500821
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,G.affinis,0.10142941589405022,0.0917803588656943,2018-05-04,380.625,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,71,152,May,0.1865353037766831,0.3993431855500821
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,G.affinis,0.10142941589405022,0.0917803588656943,2018-06-06,449.0625,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,51,99,June,0.11356993736951983,0.22045929018789143
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,G.affinis,0.10142941589405022,0.0917803588656943,2018-07-05,478.125,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,2,9,July,0.004183006535947713,0.018823529411764704
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.auritus,0.015588030619345859,NA,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,auritus,7,99,June,0.015588030619345859,0.22045929018789143
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.cyanellus,0.0061677482165567975,0.0024239976592810943,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,cyanellus,3,152,May,0.007881773399014778,0.3993431855500821
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.cyanellus,0.0061677482165567975,0.0024239976592810943,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,cyanellus,2,99,June,0.004453723034098817,0.22045929018789143
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.gulosus,0.015763546798029555,NA,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,gulosus,6,152,May,0.015763546798029555,0.3993431855500821
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.macrochirus,0.01896906874636848,0.009398219076262428,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,macrochirus,10,152,May,0.026272577996715927,0.3993431855500821
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.macrochirus,0.01896906874636848,0.009398219076262428,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,macrochirus,10,99,June,0.022268615170494086,0.22045929018789143
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.macrochirus,0.01896906874636848,0.009398219076262428,2018-07-05,478.125,Centrachiformes,Centrarchidae,Lepomis,macrochirus,4,9,July,0.008366013071895426,0.018823529411764704
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.megalotis,0.031675120843816615,0.034487030306236316,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,megalotis,27,152,May,0.07093596059113301,0.3993431855500821
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.megalotis,0.031675120843816615,0.034487030306236316,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,megalotis,8,99,June,0.01781489213639527,0.22045929018789143
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.megalotis,0.031675120843816615,0.034487030306236316,2018-07-05,478.125,Centrachiformes,Centrarchidae,Lepomis,megalotis,3,9,July,0.006274509803921568,0.018823529411764704
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.microlophus,0.004453723034098817,NA,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Lepomis,microlophus,2,99,June,0.004453723034098817,0.22045929018789143
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.miniatus,0.005254515599343186,NA,2018-05-04,380.625,Centrachiformes,Centrarchidae,Lepomis,miniatus,2,152,May,0.005254515599343186,0.3993431855500821
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.oculatus,0.010108634916064186,0.007997253077500188,2018-05-04,380.625,Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,6,152,May,0.015763546798029555,0.3993431855500821
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,L.oculatus,0.010108634916064186,0.007997253077500188,2018-06-06,449.0625,Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,2,99,June,0.004453723034098817,0.22045929018789143
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,M.salmoides,0.006680584551148226,NA,2018-06-06,449.0625,Centrachiformes,Centrarchidae,Micropterus,salmoides,3,99,June,0.006680584551148226,0.22045929018789143
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,N.gyrinus,0.04453723034098817,NA,2018-06-06,449.0625,Siluriformes,Ictaluridae,Noturus,gyrinus,20,99,June,0.04453723034098817,0.22045929018789143
Sub-Humid,fish,0.26831870808938363,0.13451114651425727,N.texanus,0.01839080459770115,NA,2018-05-04,380.625,Cypriniformes,Leuciscidae,Notropis,texanus,7,152,May,0.01839080459770115,0.3993431855500821
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Baetidae,7.795698924731182,1.1404948083653987,2018-06-06,NA,Ephemeroptera,Baetidae,NA,NA,8.602150537634408,2692.47311827957,June,8.602150537634408,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Baetidae,7.795698924731182,1.1404948083653987,2018-07-05,NA,Ephemeroptera,Baetidae,NA,NA,6.989247311827957,430.1075268817204,July,6.989247311827957,430.1075268817204
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Belostoma,8.602150537634408,NA,2018-06-06,NA,Hemiptera,Belostomatidae,Belostoma,NA,8.602150537634408,2692.47311827957,June,8.602150537634408,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Caenis,46.236559139784944,40.91323667958196,2018-05-04,NA,Ephemeroptera,Caenidae,Caenis,NA,89.78494623655914,716.6666666666666,May,89.78494623655914,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Caenis,46.236559139784944,40.91323667958196,2018-06-06,NA,Ephemeroptera,Caenidae,Caenis,NA,8.602150537634408,2692.47311827957,June,8.602150537634408,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Caenis,46.236559139784944,40.91323667958196,2018-07-05,NA,Ephemeroptera,Caenidae,Caenis,NA,40.32258064516129,430.1075268817204,July,40.32258064516129,430.1075268817204
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Callibaetis,10.75268817204301,NA,2018-05-04,NA,Ephemeroptera,Baetidae,Callibaetis,NA,10.75268817204301,716.6666666666666,May,10.75268817204301,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Ceratopogonidae,5.376344086021505,NA,2018-05-04,NA,Diptera,Ceratopogonidae,NA,NA,5.376344086021505,716.6666666666666,May,5.376344086021505,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Chironomidae,19.892473118279568,14.492879296885826,2018-05-04,NA,Diptera,Chironomidae,NA,NA,5.376344086021505,716.6666666666666,May,5.376344086021505,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Chironomidae,19.892473118279568,14.492879296885826,2018-05-04,NA,Diptera,Chironomidae,NA,NA,50,716.6666666666666,May,50,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Chironomidae,19.892473118279568,14.492879296885826,2018-05-04,NA,Diptera,Chironomidae,NA,NA,17.741935483870968,716.6666666666666,May,17.741935483870968,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Chironomidae,19.892473118279568,14.492879296885826,2018-06-06,NA,Diptera,Chironomidae,NA,NA,8.602150537634408,2692.47311827957,June,8.602150537634408,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Chironomidae,19.892473118279568,14.492879296885826,2018-06-06,NA,Diptera,Chironomidae,NA,NA,17.204301075268816,2692.47311827957,June,17.204301075268816,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Chironomidae,19.892473118279568,14.492879296885826,2018-07-05,NA,Diptera,Chironomidae,NA,NA,18.817204301075268,430.1075268817204,July,18.817204301075268,430.1075268817204
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Chironomidae,19.892473118279568,14.492879296885826,2018-07-05,NA,Diptera,Chironomidae,NA,NA,21.50537634408602,430.1075268817204,July,21.50537634408602,430.1075268817204
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Corbicula,6.451612903225806,NA,2018-05-04,NA,Bivalva,Corbiculidae,Corbicula,NA,6.451612903225806,716.6666666666666,May,6.451612903225806,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Curicta,8.602150537634408,NA,2018-06-06,NA,Hemiptera,Nepidae,Curicta,NA,8.602150537634408,2692.47311827957,June,8.602150537634408,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Dineutus,17.204301075268816,NA,2018-06-06,NA,Coleoptera,Gyrinidae,Dineutus,NA,17.204301075268816,2692.47311827957,June,17.204301075268816,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Dubiraphia,21.146953405017918,11.68453284064734,2018-05-04,NA,Coleoptera,Elmidae,Dubiraphia,NA,12.365591397849462,716.6666666666666,May,12.365591397849462,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Dubiraphia,21.146953405017918,11.68453284064734,2018-06-06,NA,Coleoptera,Elmidae,Dubiraphia,NA,34.40860215053763,2692.47311827957,June,34.40860215053763,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Dubiraphia,21.146953405017918,11.68453284064734,2018-07-05,NA,Coleoptera,Elmidae,Dubiraphia,NA,16.666666666666664,430.1075268817204,July,16.666666666666664,430.1075268817204
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Enallagma,12.096774193548386,7.223133786314195,2018-06-06,NA,Odonata,Coenagrionidae,Enallagma,NA,17.204301075268816,2692.47311827957,June,17.204301075268816,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Enallagma,12.096774193548386,7.223133786314195,2018-07-05,NA,Odonata,Coenagrionidae,Enallagma,NA,6.989247311827957,430.1075268817204,July,6.989247311827957,430.1075268817204
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Eupera,8.602150537634408,NA,2018-06-06,NA,Bivalva,Pisidiidae,Eupera,NA,8.602150537634408,2692.47311827957,June,8.602150537634408,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Fallceon,27.419354838709676,NA,2018-07-05,NA,Ephemeroptera,Baetidae,Fallceon,NA,27.419354838709676,430.1075268817204,July,27.419354838709676,430.1075268817204
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Hyalella,1001.9713261648744,1191.6259259841363,2018-05-04,NA,Amphipoda,Hyalellidae,Hyalella,NA,403.76344086021504,716.6666666666666,May,403.76344086021504,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Hyalella,1001.9713261648744,1191.6259259841363,2018-06-06,NA,Amphipoda,Hyalellidae,Hyalella,NA,2374.1935483870966,2692.47311827957,June,2374.1935483870966,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Hyalella,1001.9713261648744,1191.6259259841363,2018-07-05,NA,Amphipoda,Hyalellidae,Hyalella,NA,227.9569892473118,430.1075268817204,July,227.9569892473118,430.1075268817204
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Hydrochus,12.365591397849462,NA,2018-05-04,NA,Coleoptera,Hydrochidae,Hydrochus,NA,12.365591397849462,716.6666666666666,May,12.365591397849462,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Megistocera,17.204301075268816,NA,2018-06-06,NA,Diptera,Tipulidae,Megistocera,NA,17.204301075268816,2692.47311827957,June,17.204301075268816,2692.47311827957
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Microcylloepus,5.376344086021505,NA,2018-05-04,NA,Coleoptera,Elmidae,Microcylloepus,NA,5.376344086021505,716.6666666666666,May,5.376344086021505,716.6666666666666
Sub-Humid,invertebrate,1257.225806451613,1001.6784609458482,Microvelia,5.913978494623656,NA,2018-05-04,NA,Hemiptera,Veliidae,Microvelia,NA,5.913978494623656,716.6666666666666,May,5.913978494623656,716.6666666666666
