order,family,genus,species,lowest_taxon,site,forklength,collection,month
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,40,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,37,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,19,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,36,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,20,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,38,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,24,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,35,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,48,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,52,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,30,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,42,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,12,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,35,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,30,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,25,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,27,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,29,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,11,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,35,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,29,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,40,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,46,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,20,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,39,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,12,2018-06-01,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,34,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,34,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,47,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,26,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,26,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,25,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,30,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,22,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,32,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,29,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,31,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,30,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,32,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,20,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,18,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,24,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,22,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,30,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,14,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,16,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,24,2018-06-08,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,46,2018-06-08,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,37,2018-06-08,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,44,2018-06-08,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,39,2018-06-08,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,47,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,32,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,28,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,40,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,25,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,38,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,30,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Transition,49,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,27,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,42,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,42,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,32,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,37,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,33,2018-07-02,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,28,2018-07-09,July
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,37,2018-07-09,July
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,58,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,62,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,48,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,43,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,42,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,48,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,54,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,48,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,51,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,39,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,43,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,42,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,43,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,38,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,38,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,47,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,40,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,53,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,62,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,32,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,47,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,38,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,33,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,48,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,37,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,32,2018-05-12,May
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,55,2018-06-01,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,47,2018-06-01,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,52,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,47,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,51,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,38,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,41,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,47,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,37,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,36,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,39,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,53,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,39,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,53,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,52,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,53,2018-06-08,June
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Transition,52,2018-07-02,July
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,33,2018-07-02,July
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,44,2018-07-02,July
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,40,2018-07-02,July
Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C.lutrensis,Semi-Arid,46,2018-07-02,July
Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,L.oculatus,Sub-Humid,380,2018-05-04,May
Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,L.oculatus,Sub-Humid,370,2018-05-04,May
Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,L.oculatus,Sub-Humid,515,2018-05-04,May
Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,L.oculatus,Sub-Humid,413,2018-05-04,May
